0.984, 0.990, 0.992, 0.000, 0.000, 0.000, 0.000 \\
0.968, 0.977, 0.982, 0.983, 0.000, 0.000, 0.000 \\
0.943, 0.953, 0.960, 0.964, 0.964, 0.000, 0.000 \\
0.910, 0.921, 0.929, 0.932, 0.932, 0.927, 0.000 \\
0.000, 0.000, 0.891, 0.891, 0.885, 0.875, 0.859 \\
